slot,kWh
00:00,0.23209890109890108
00:30,0.26027884615384617
01:00,0.20207554945054942
01:30,0.23096016483516485
02:00,0.25968406593406596
02:30,0.24743681318681318
03:00,0.2432582417582418
03:30,0.20741483516483517
04:00,0.16435714285714287
04:30,0.1555151098901099
05:00,0.1801854395604396
05:30,0.19733241758241757
06:00,0.24457692307692305
06:30,0.27805906593406593
07:00,0.31956730769230773
07:30,0.34889423076923076
08:00,0.39043131868131864
08:30,0.3966195054945055
09:00,0.387081043956044
09:30,0.4168777472527473
10:00,0.37723901098901097
10:30,0.36628571428571427
11:00,0.35255906593406594
11:30,0.3567760989010989
12:00,0.3311071428571428
12:30,0.30811126373626374
13:00,0.2803914835164835
13:30,0.26576923076923076
14:00,0.24870329670329672
14:30,0.26129945054945053
15:00,0.22858653846153845
15:30,0.21284890109890112
16:00,0.22721153846153846
16:30,0.23806456043956045
17:00,0.28653983516483517
17:30,0.34496016483516484
18:00,0.3934217032967033
18:30,0.4191881868131868
19:00,0.4131593406593406
19:30,0.3734203296703297
20:00,0.3272335164835165
20:30,0.26844505494505494
21:00,0.2433598901098901
21:30,0.2449945054945055
22:00,0.2779217032967033
22:30,0.26056868131868133
23:00,0.2869876373626373
23:30,0.24290247252747252
