slot,Weekday,Weekend
00:00,0.29644903846153847,0.2908149038461538
00:30,0.31391346153846156,0.31158173076923074
01:00,0.2843778846153846,0.2494903846153846
01:30,0.28693942307692305,0.33041586538461537
02:00,0.28944038461538457,0.36771875
02:30,0.22500576923076923,0.41206009615384614
03:00,0.23369903846153847,0.37608653846153844
03:30,0.1860528846153846,0.25062740384615384
04:00,0.1620076923076923,0.17625961538461538
04:30,0.15440576923076924,0.15176923076923077
05:00,0.17384519230769233,0.1370096153846154
05:30,0.1917625,0.1860264423076923
06:00,0.22321153846153846,0.21074038461538463
06:30,0.27467692307692304,0.21803846153846151
07:00,0.32432115384615384,0.20701442307692305
07:30,0.36431153846153846,0.24843028846153845
08:00,0.4030105769230769,0.31206009615384617
08:30,0.4244971153846154,0.3126177884615385
09:00,0.4157625,0.32202163461538463
09:30,0.4326153846153846,0.37478365384615386
10:00,0.3768394230769231,0.3999423076923077
10:30,0.33240288461538464,0.4012403846153846
11:00,0.33751730769230764,0.37468509615384615
11:30,0.30958846153846153,0.4237115384615385
12:00,0.3122432692307692,0.3645721153846154
12:30,0.2821432692307692,0.3644158653846154
13:00,0.2714153846153846,0.3525552884615385
13:30,0.2572894230769231,0.3366129807692308
14:00,0.22603365384615384,0.2857764423076923
14:30,0.2319721153846154,0.3199759615384616
15:00,0.2239,0.2698798076923077
15:30,0.214,0.29095913461538464
16:00,0.21079807692307692,0.2991802884615385
16:30,0.24374134615384616,0.25360817307692307
17:00,0.29259711538461536,0.29983173076923075
17:30,0.3393336538461538,0.29568509615384614
18:00,0.3995711538461538,0.31080528846153843
18:30,0.3942576923076923,0.39745192307692306
19:00,0.3835028846153846,0.35340625
19:30,0.3380346153846154,0.34931971153846153
20:00,0.32584134615384613,0.2899927884615385
20:30,0.2669980769230769,0.2794254807692308
21:00,0.2511769230769231,0.22872115384615382
21:30,0.25684711538461535,0.2460576923076923
22:00,0.30372980769230773,0.2514519230769231
22:30,0.27802596153846154,0.2750769230769231
23:00,0.28331634615384615,0.29568509615384614
23:30,0.2845125,0.31242548076923077
