year,annual_kWh,avg_daily_kWh,peak_slot_local,peak_slot_kWh,base_load_kWh_per_30min,weekend_share_percent
2023,1859.2955,15.240127049180325,09:30,0.4161,0.2045,29.24
2024,5066.4375,13.842725409836065,09:30,0.4161,0.2045,29.24
2025,3294.055,9.024808219178084,09:30,0.4161,0.2045,29.24
